cerclis_id,name,address,county,state,hrs_score,reason,proposed,listed,construction_completed,partially_deleted,deleted,report,latitude,longitude
FLD981019235,Madison County Sanitary Landfill,,Madison,Florida,,"Elevated levels of dichloroethane, DCE, TCE and vinyl chloride in soil and 
groundwater, including the Floridan Aquifer.[50]",4/28/1993,8/30/1990,,–,–,,,
FLD076027820,Miami Drum Services,,Miami-Dade,Florida,,"Soil was contaminated by metals, pesticides and organic solvents, and 
groundwater by VOCs from poor waste handling practices at a drum recycling 
facility, which was forced to close in 1981. Groundwater contamination is 
mixed with contamination from the nearby Northwest 58th Street Landfill and Varsol 
Oil Spill Superfund sites and has reached the Biscayne Aquifer, the 
county's sole source of drinking water.[51]",12/30/1982,9/8/1983,4/28/1993,–,–,,,
FLD088787585,MRI Corp (Tampa),,Hillsborough,Florida,,"Soil, sediment and groundwater are contaminated by lead and other metals, 
from a former detinning and steel recycling facility, which also operated 
an electroplating shop.[52]",6/17/1996,12/23/1996,–,–,–,,,
FLD084535442,Munisport Landfill,,Miami-Dade,Florida,,"Groundwater was contaminated by base neutral acids, inorganic compounds, heavy 
metals, PAHs, pesticides and VOCs from filling of wetland areas with 
construction debris and solid waste to raise elevation for development.[53]",12/30/1982,9/8/1983,9/5/1997,–,2/21/1989,,,
FL9170024567,Naval Air Station Pensacola,,Escambia,Florida,,"Groundwater is contaminated by VOCs and surface water and sediments are 
contaminated by heavy metals.[54]",7/14/1989,11/21/1989,–,–,–,,,
FLD980709398,Nocatee-Hull Creosote,,DeSoto,Florida,,"Soil, groundwater and sediment contamination by creosote-related PAHs, 
benzene, toluene, ethylbenzene and xylenes from railroad tie treatment 
operations that are believed to have ended in 1952.[55]",–,–,–,–,–,,,
FLD984229773,Normandy Park Apartments,,Hillsborough,Florida,,"Soil and groundwater contamination by lead and antimony from former battery 
recycling operations. Contaminated soil has been removed and groundwater 
treatment is ongoing.[56]",2/13/1995,–,–,–,–,,,
FLD980602643,Northwest 58th Street Landfill,,Miami-Dade,Florida,,"Groundwater was contaminated by arsenic, chromium, zinc, benzene, 
chlorobenzene, tetrachloroethane, TCE and vinyl chloride from former 
landfill operations. Groundwater contamination is mixed with contamination 
from the nearby Miami Drum Services and Varsol Oil Spill Superfund sites 
and has reached the Biscayne Aquifer, the county's sole source of drinking 
water.[57]",12/30/1982,9/8/1983,3/6/1995,–,10/11/1996,,,
FLD984169235,Orlando Former Gasification Plant,,Orange,Florida,,Soil and groundwater are contaminated by coal tar waste products.[58],–,–,–,–,–,,,
FLD041140344,Parramore Surplus,,Gadsden,Florida,,"Soil and groundwater were contaminated by PCBs, solvents and cyanide 
leaking from drums stored on site.[59]",8/30/1982,9/8/1983,9/15/1987,–,2/21/1989,,,
FLD004091807,Peak Oil Co./Bay Drum Co.,,Hillsborough,Florida,,"The site is a former waste oil re-refining plant and drum reconditioning 
facility. Soil, sludges, surface water and sediments are contaminated by 
PCBs, VOCs, arsenic, lead and other heavy metals from process wastes and 
groundwater is contaminated by VOCs and heavy metals.[60]",10/15/1984,6/10/1986,9/26/2006,–,–,,,
FLD032544587,"Pepper Steel & Alloys, Inc.",,Miami-Dade,Florida,,"Soil is contaminated by PCBs, lead and arsenic.[61]",9/8/1983,9/21/1984,9/28/1993,–,–,,,
FLD980798698,Petroleum Products Corp.,,Broward,Florida,,"Soil and groundwater are contaminated by chlorinated solvents, transformer 
oil and heavy metals including lead, aluminum, chromium, iron and manganese 
from former waste oil re-refining. Specific sources of contamination 
include former waste disposal practices and catastrophic spills. An 
estimated 30,000 to 125,000 gallons of contaminated waste oil is floating 
on top of the Biscayne Aquifer, the sole source of drinking water for the 
county.[62]",4/10/1985,7/22/1987,–,–,–,,,
FLD980556351,Pickettville Road Landfill,,Duval,Florida,,"Metal and VOC contamination of soil and groundwater from the closed 
hazardous waste landfill threaten local drinking water supplies and creeks.
[63]",12/30/1982,9/8/1983,9/24/2008,–,–,,,
FLD056116965,Pioneer Sand Co.,,Escambia,Florida,,"The site is a former sand quarry that was later used as a landfill. Soil 
and sludges are contaminated by PCBs.[64]",12/30/1982,9/8/1983,12/31/1991,–,2/8/1993,,,
FLD004054284,Piper Aircraft/Vero Beach Water & Sewer,,Indian River,Florida,,"Soil and groundwater were contaminated by a leak from an underground TCE 
storage tank.[65]",6/10/1986,2/21/1990,9/18/1997,–,–,,,
FLD984227249,Raleigh Street Dump,,Hillsborough,Florida,,"Soil and sediments are contaminated by the disposal of battery casings, 
furnace slag and other materials. Groundwater is contaminated by antimony, 
arsenic and lead. The groundwater has high natural salinity so is not 
potable but contamination may extend to local wetlands.[66]",9/3/2008,4/9/2009,8/12/2014,–,–,,,
FLD000824896,Reeves Southeast Galvanizing Corp,,Hillsborough,Florida,,"Groundwater, sediments and soil are contaminated by heavy metals, including 
zinc, chromium and lead.[67]",12/30/1982,9/8/1983,–,–,–,,,
FLD101835528,St. Augustine Gas,,Volusia,Florida,,"Groundwater, soil and sediments are contaminated by VOCs, metals, inorganic 
compounds and PAHs from former coal gasification plant. Soil is also 
contaminated by dioxins, which are not associated with these operations.[68]",–,–,–,–,–,,,
FLD032728032,Sanford Dry Cleaners,,Seminole,Florida,,"Soil and groundwater are contaminated by PCE and its decomposition products 
TCE and DCE from a dry cleaning business that closed in 2001.[69]",3/4/2010,–,–,–,–,,,
FLD984169193,Sanford Gasification Plant,,Seminole,Florida,,"The site is contaminated by metals, VOCs, PAHs, dioxins and dibenzofurans.
[70]",–,–,–,–,–,,,
FLD980602882,Sapp Battery Salvage,,Jackson,Florida,,"Soil, sediments, surface water and groundwater are contaminated by sulfuric 
acid, lead and other heavy metals, and plasticizers.[71]",12/30/1982,9/8/1983,–,–,–,,,
FLD062794003,Schuylkill Metals Corp.,,Hillsborough,Florida,,"The site is a former battery recycling facility. Soil, surface water and 
sediments in nearby wetlands contained highly elevated levels of lead and 
groundwater is contaminated by lead, chromium and sulfate beyond state 
drinking water standards.[72]",12/30/1982,9/8/1983,9/18/1997,–,8/22/2001,,,
FLD043861392,Sherwood Medical Industries,,Volusia,Florida,,"Groundwater is contaminated by VOCs and soil by heavy metals from former 
waste disposal practices.[73]",12/30/1982,9/8/1983,9/18/1997,–,–,,,
FLD980728877,62nd Street Dump,,Hillsborough,Florida,,"Improper disposal of an estimated 48,000 cubic yards of waste on-side has 
contaminated soil and groundwater with antimony, arsenic, cadmium, chromium, 
copper, lead and PCBs.[74]",12/30/1982,9/8/1983,9/29/1995,–,10/1/1999,,,
FLD032845778,Solitron Devices,,Palm Beach,Florida,,"Soil and groundwater, including municipal supply wells, are contaminated by heavy 
metals and solvents from a former electronics manufacturing facility.[75]",–,–,–,–,–,,,
FLD045459526,Solitron Microwave,,Martin,Florida,,"Groundwater contamination by PCE, TCE, DCE and vinyl chloride from a former 
plating and manufacturing business had affected private drinking water 
wells.[76]",3/6/1998,7/28/1998,10/4/1994,–,–,,,
FL0001209840,"Southern Solvents, Inc.",,Hillsborough,Florida,,"Soil and groundwater, including the Floridan Aquifer, are contaminated by 
PCE, believed to be from spills at the former dry-cleaning solvent 
distribution facility.[77]",5/11/2000,7/27/2000,–,–,–,,,
FLD004072658,Sprague Electric,,Seminole,Florida,,"Groundwater, including the Floridan Aquifer is contaminated by TCE and TCA 
from a former capacitor manufacturing plant.[78]",–,–,–,–,–,,,
FLD004126520,Standard Auto Bumper Corp.,,Miami-Dade,Florida,,"Soil and groundwater are contaminated by nickel and chromium from poor 
waste disposal practices at a former electroplating facility. Contamination 
threatens the Biscayne Aquifer, the county's sole source of drinking water.
[79]",6/24/1988,10/4/1989,10/4/1994,–,10/26/2007,,,
FLD004092532,Stauffer Chemical Co (Tampa),,Hillsborough,Florida,,"Soil, surface water, sediments and groundwater are contaminated by 
pesticides from an inactive pesticide manufacturing and distribution 
facility.[80]",6/17/1996,12/23/1996,9/26/2000,–,–,,,
FLD010596013,Stauffer Chemical Co. (Tarpon Springs),,Pinellas,Florida,,"Soil, groundwater and surface water are contaminated by arsenic, antimony, 
beryllium, phosphorus, PAHs and radium-226 from a former phosphorus 
refining plant.[81]",2/7/1992,5/31/1994,–,–,–,,,
FLD000648055,Sydney Mine Sludge Ponds,,Hillsborough,Florida,,"Improper disposal of around 16 million gallons of liquid waste and sludges 
have contaminated groundwater with PAHs and VOCs. The Hawthorn Aquifer, the 
main local supply of drinking water, is contaminated.[82]",6/10/1986,10/4/1989,6/28/1999,–,–,,,
FLD980494959,Taylor Road Landfill,,Hillsborough,Florida,,"The Floridan Aquifer is contaminated by VOCs and metals, which have been 
detected in private wells.[83]",12/30/1982,9/8/1983,6/18/1999,–,–,,,
FLD004065546,Tower Chemical Co.,,Lake,Florida,,"Soil and groundwater are contaminated by DDT, chlorobenzilate and their 
partial breakdown compounds from an abandoned pesticide manufacturing 
facility. Chemicals spilled into Lake Apopka.[84]",12/30/1982,9/8/1983,–,–,–,,,
FLD091471904,"Trans Circuits, Inc.",,Palm Beach,Florida,,[85],,2/4/2000,,–,–,,,
FLD070864541,"Tri-City Oil Conservationist, Inc.",,Hillsborough,Florida,,[86],,,9/21/1987,–,9/1/1988,,,
FLD091471904,Tyndall Air Force Base,,Bay,Florida,,[87],6/17/1996,4/1/1997,–,–,–,,,
FLD098924038,"United Metals, Inc.",,Jackson,Florida,,[88],,4/30/2003,–,–,–,,,
FLD980602346,Varsol Oil Spill,,Miami-Dade,Florida,,"Surface water and groundwater were contaminated by PAHs from oil spills at Miami 
International Airport, including a leak of approximately 1.6 million 
gallons of varsol, a petroleum solvent from an underground pipe. 
Groundwater contamination is mixed with contamination from the nearby Miami 
Drum Services and Northwest 58th Street Landfill Superfund sites and has 
reached the Biscayne Aquifer, the county's sole source of drinking water.
[89]",12/30/1982,9/8/1983,3/29/1985,–,9/1/1988,,,
FLD982119729,West Florida Natural Gas,,Marion,Florida,,[90],–,–,–,–,–,,,
FLD980602767,Whitehouse Oil Pits,,Duval,Florida,,[91],,9/8/1983,5/4/2006,–,–,,,
FL2170023244,Whiting Field Naval Air Station,,Santa Rosa,Florida,,[92],1/18/1994,5/31/1994,–,–,–,,,
FLD041184383,"Wilson Concepts of Florida, Inc.",,Broward,Florida,,[93],,,9/22/1992,–,4/4/1995,,,
FLD981021470,Wingate Road Municipal Incinerator Dump,,Broward,Florida,,[94],,10/4/1989,1/4/2002,–,–,,,
FLD004146346,Woodbury Chemical Co. (Princeton Plant),,Dade,Florida,,[95],,,6/25/1992,–,11/27/1995,,,
FLD980844179,Yellow Water Road Dump,,Duval,Florida,,[96],,,10/3/1996,–,5/18/1999,,,
FLD049985302,Zellwood Ground Water Contamination,,Orange,Florida,,[97],,9/8/1983,9/16/2003,–,–,,,
GAD990855819,Armstrong World Industries,,Bibb,Georgia,,,10/21/2010,9/16/2011,–,–,–,,,
GAD003302676,Macon Naval Ordnance Plant,,Bibb,Georgia,,,3/15/2012,5/24/2013,–,–,–,,,
GAD990855819,"Luminous Processes, Inc.",,Clarke,Georgia,,,10/23/1981,–,12/30/1982,–,12/30/1982,,,
GAD990855074,Firestone Tire & Rubber Co. (Albany Plant),,Dougherty,Georgia,,"Inorganics, Metals, PAH, PCBs, VOC",6/24/1988,10/4/1989,9/28/1998,–,–,,,
GA7170023694,Marine Corps Logistics Base,,Dougherty,Georgia,,"Base Neutral Acids, Metals, PAH, PCBs, VOC",7/14/1989,11/21/1989,9/28/2011,–,–,,,
GAD042101261,T.H. Agriculture & Nutrition (Albany),,Dougherty,Georgia,,"Base Neutral Acids, Halogenated SVOCs, Inorganics, Metals, PAH, Persistent 
Organic Pollutants, Pesticides, VOC",6/24/1988,3/31/1989,–,–,–,,,
GAD981024466,Brunswick Wood Preserving,,Glynn,Georgia,,"Base Neutral Acids, Dioxins/Dibenzofurans, Metals, PAH, Persistent Organic 
Pollutants, Pesticides, VOC",12/23/1996,4/1/1997,9/27/2012,–,–,,,
GAD980556906,Hercules 009 Landfill,,Glynn,Georgia,,"Soil, sludge, groundwater, and surfacewater were contaminated with 
toxaphene, benzene, TCE, toluene, xylenes, dioxin, pesticides, arsenic, 
chromium, and lead.[10]",9/8/1983,9/21/1984,9/24/1999,–,–,,,
GAD099303182,LCP Chemicals Georgia,,Glynn,Georgia,,Inorganics[11],10/2/1995,6/17/1996,–,–,–,,,
GAD982112658,Terry Creek Dredge Spoil Areas/Hercules Outfall,,Glynn,Georgia,,[12],4/1/1997,–,–,–,–,,,
GA1570024330,Robins Air Force Base (Landfill #4/Sludge lagoon),,Houston,Georgia,,"Metals, PAH, Persistent Organic Pollutants, Pesticides, VOC[13]",10/15/1984,7/22/1987,9/30/2004,–,–,,,
GAD008212409,Camilla Wood Preserving Company,,Mitchell,Georgia,,"Base Neutral Acids, Dioxins/Dibenzofurans, Metals, PAH, Pesticides, VOC[14]",3/6/1998,7/28/1998,–,–,–,,,
GAD980496954,Powersville Site,,Peach,Georgia,,"Metals, Persistent Organic Pollutants, Pesticides, VOC[15]",9/8/1983,9/21/1984,6/30/1993,–,11/1/2010,,,
GAD003269578,"Woolfolk Chemical Works, Inc.",,Peach,Georgia,,"Base Neutral Acids, Dioxins/Dibenzofurans, Halogenated SVOCs, Metals, PAH, 
PCBs, Persistent Organic Pollutants, Pesticides, VOC[16]",6/24/1988,8/30/1990,–,–,–,,,
GAD095840674,"Cedartown Industries, Inc.",,Polk,Georgia,,Metals[17],6/24/1988,2/21/1990,5/8/1997,–,9/19/2006,,,
GAD980495402,Cedartown Municipal Landfill,,Polk,Georgia,,"Base Neutral Acids, Inorganics, Metals, PAH, VOC[18]",6/24/1988,3/31/1989,8/16/1996,–,3/10/1999,,,
GAD990741092,Diamond Shamrock Corp. Landfill,,Polk,Georgia,,"Metals, VOC[19]",1/22/1987,8/30/1990,9/29/1995,–,–,,,
GAD033582461,Alternate Energy Resources,,Richmond,Georgia,,"PAH, Petroleum Hydrocarbon, VOC[20]",9/14/2005,4/19/2006,–,–,–,,,
GAD001700699,Monsanto Corp. (Augusta Plant),,Richmond,Georgia,,Groundwater contaminated with arsenic.[21],9/8/1983,9/21/1984,5/5/1993,–,3/9/1998,,,
GAN000407449,Peach Orchard Road PCE Groundwater Plume,,Richmond,Georgia,,Groundwater contaminated with PCE.[22][23],4/27/2005,9/14/2005,9/18/2013,–,–,,,
GAD991275686,Marzone Inc./Chevron Chemical Co.,,Tift,Georgia,,"Dioxins/Dibenzofurans, Metals, Nitrate/Nitrite, Persistent Organic 
Pollutants, Pesticides, VOC[24]",6/24/1988,10/4/1989,–,–,–,,,
GAD980838619,Mathis Brothers Landfill (South Marble Top Road),,Walker,Georgia,,"Base Neutral Acids, Dioxins/Dibenzofurans, Inorganics, Metals, 
Nitroaromatics, PAH, Pesticides, VOC[25]",1/22/1987,3/31/1989,9/28/1998,–,–,,,
HID980637631,Del Monte Corp. (Oahu Plantation),,Honolulu,Hawaii,,"Soil and shallow groundwater at the site have been contaminated with the 
fumigants EDB, DBCP, and DCP, the solvents TCP and benzene and the 
pesticide lindane.[15]",5/10/1993,12/16/1994,9/8/2008,1/13/2004,–,,,
HI0170090054,Naval Computer & Telecommunications Area,,Honolulu,Hawaii,,"Soil contamination in different areas by PCBs, volatile organics, 
semi-volatile organics and metals.[16]",1/18/1994,5/31/1994,–,–,–,,,
HI4170090076,Pearl Harbor Naval Complex,,Honolulu,Hawaii,,"Soil, groundwater and sediment are contaminated with metals, organic 
compounds and petroleum hydrocarbons.[17]",7/29/1991,10/14/1992,–,–,–,,,
HI7210090026,Schofield Barracks (U.S. Army),,Honolulu,Hawaii,,Groundwater contains trichloroethylene.[18],7/14/1989,8/30/1990,9/23/1998,–,8/10/2000,,,
IDD000800961,Arrcom (Drexler Enterprises),,Kootenai,Idaho,,"Site soil contamination by VOCs, heavy metals including lead and mercury, 
acid, PCBs and PCP from waste oil recycling. Asbestos contamination in site 
buildings.",12/30/1982,9/8/1983,6/30/1992,–,12/23/1992,,,
IDD980725832,Blackbird Mine,,Lemhi,Idaho,,"Groundwater, surface water, soil and sediment contamination by copper, 
cobalt and arsenic. Acid rock drainage from mine tunnels and waste has 
decreased water quality in local creeks, affecting chinook salmon and other 
threatened and endangered species.[10][11]",5/10/1993,–,–,–,–,,,
IDD048340921,Bunker Hill Mining & Metallurgical,,Shoshone,Idaho,,"The Coeur d'Alene River basin contains millions of tons of mine tailings, 
waste rock and ore concentrates. Soil, sediments, groundwater and surface 
water are contaminated with heavy metals including cadmium, lead and zinc 
from former mining and smelting operations.[12][13]",12/30/1982,9/8/1983,–,–,–,,,
IDD984666610,Eastern Michaud Flats Contamination,,Power and Bannock,Idaho,,"Groundwater and surface water contamination by arsenic and phosphorus from 
phosphorus ore processing plants. Off-site soil contamination from airborne 
release of fluoride, radium-226 and cadmium; on-site soil contamination by 
cadmium, chromium, copper, lead, nickel, silver, vanadium, zinc, radium-226 
and fluoride.[14][15]",5/5/1989,8/30/1990,–,–,–,,,
ID4890008952,Idaho National Laboratory (DOE),,"Butte, Clark, Jefferson, and Bingham",Idaho,,"Groundwater contamination by hexavalent chromium, iodine-129, strontium-90, 
technetium-99, tritium, carbon tetrachloride and TCE; soil contamination by heavy 
metals including lead and mercury, by VOCs, and by radionuclides, including 
cesium-137, strontium-90, and plutonium.[16][17]",7/14/1989,11/21/1989,–,–,–,,,
IDD041310707,Kerr-McGee Chemical Corp. (Soda Springs),,Caribou,Idaho,,"Surface water, ground water and solid waste contamination by vanadium, 
arsenic, molybdenum, manganese, tributyl phosphate and total petroleum 
hydrocarbons.[18][19]",5/5/1989,10/4/1989,9/26/2001,–,–,,,
IDD081830994,Monsanto Chemical Co. (Soda Springs),,Caribou,Idaho,,"Groundwater contamination by cadmium, selenium, nitrate, and fluoride from 
phosphorus ore processing plant. Soil on-site and on nearby buffer 
properties contaminated by radium-226 blown from ore stockpiles.[20][21]",5/5/1989,8/30/1990,9/20/2000,–,–,,,
ID3572124557,Mountain Home Air Force Base,,Elmore,Idaho,,"Groundwater contamination by TCE, aviation fuel and benzene from aircraft 
maintenance and industrial operations.[22][23]",7/14/1989,8/30/1990,9/30/1998,–,–,,,
IDD098812878,Pacific Hide & Fur Recycling Co.,,Bannock,Idaho,,"Soil contamination by PCBs, lead and other inorganic compounds from scrap 
metal disposal.[24][25]",9/8/1983,9/21/1984,9/29/1997,–,11/4/1999,,,
IDSFN1002095,St. Maries Creosote,,Benewah,Idaho,,"Creosote contamination of debris, soil and surface water from pole 
treatment plant.[26][27]",12/1/2000,–,–,–,–,,,
IDD980665459,Stibnite/Yellow Pine Mining Area,,Valley,Idaho,,"Heavy metal, arsenic and cyanide contamination of groundwater, seeps, 
sediments and soils from gold-antimony ore mining and milling.[28][29]",9/13/2001,–,–,–,–,,,
IDD055030852,Union Pacific Railroad Co.,,Bannock,Idaho,,"Groundwater contamination by heavy metals, PAHs and organic compounds from 
Union Pacific's waste water treatment facility and an adjacent tie 
treatment plant.[30][31]",9/8/1983,9/21/1984,9/19/1996,–,09/22/1997[32],,,
ILD980607055,Adams County Quincy Landfills 2&3,,Adams,Illinois,,(39°55′46″N 91°16′06″W﻿ / ﻿39.92944°N 91.26847°W﻿ / 39.92944; -91.26847),6/24/1988,8/30/1990,3/31/1999,,,,,
ILD980996789,Ilada Energy Co.,,Alexander,Illinois,,"(37°15′30″N 89°27′49″W﻿ / ﻿37.2584°N 89.4635°W﻿ / 37.2584; -89.4635) Liquid 
oily wastes found on site were contaminated with VOCs, PCBs, and heavy 
metals including lead, arsenic, and zinc. On-site surface soils were 
contaminated with PCBs and heavy metals.",6/24/1988,10/4/1989,9/28/1999,,1/8/2001,,,
ILD980397079,"A & F Material Reclaiming, Inc.",,Cumberland,Illinois,,(39°14′38″N 88°10′26″W﻿ / ﻿39.2439°N 88.174°W﻿ / 39.2439; -88.174),12/30/1982,9/8/1983,9/24/1992,,,,,
IL3210020803,Savanna Army Depot Activity,,Jo Daviess,Illinois,,"(42°12′36″N 90°18′48″W﻿ / ﻿42.21°N 90.31333°W﻿ / 42.21; -90.31333) Soils 
are contaminated with metals, pesticides, explosives, lead-based paint 
chips, and PAHs. Groundwater is contaminated with various pesticides, 
explosives, solvents, and petroleum-related contaminants. Sediments and 
surface water are contaminated with various explosives, PAHs, and metals. 
Multiple areas throughout the facility contain munitions and explosives of 
concern/unexploded ordnance (MEC/UXO).",10/15/1984,3/13/1989,,,,,,
ILD000802827,Outboard Marine Corporation,,Lake,Illinois,,"(42°21′55″N 87°49′16″W﻿ / ﻿42.36528°N 87.82111°W﻿ / 42.36528; -87.82111) An 
engine construction plant released hydraulic fluids into the ground and 
harbor, which contained PCB. Dredging of the harbor and soil removal have 
been completed, and decontamination of the isolated soil continues. During 
cleanup, it was discovered that the site contained additional contamination 
on the former Waukegan Coke Plant property. Soil removal there is also 
complete.",12/30/1982,9/8/1983,,,,,,
ILD003817137,Petersen Sand & Gravel,,Lake,Illinois,,"(42°18′57″N 87°57′13″W﻿ / ﻿42.31583°N 87.9537°W﻿ / 42.31583; -87.9537) The 
site of illegal dumping of paint waste and solvents. Cleanup was completed, 
and it was removed from the National Priorities List in 1991, and 
redeveloped as the Independence Grove Forest Preserve.",10/15/1984,6/10/1986,9/12/1989,,2/11/1991,,,
ILD005443544,Johns-Manville Corporation,,Lake,Illinois,,"(42°23′12″N 87°48′42″W﻿ / ﻿42.38666°N 87.81166°W﻿ / 42.38666; -87.81166) An 
asbestos-disposal site. The area has been covered in >24 inches of soil, 
but areas outside the Johns-Manville property have problems with asbestos 
contamination, including other beachfront areas near the Waukegan and Zion.
 The site will be redeveloped as a soccer and baseball complex.",12/30/1982,9/8/1983,12/31/1991,,,,,
ILD980500102,Yeoman Creek Landfill,,Lake,Illinois,,"(42°23′20″N 87°50′55″W﻿ / ﻿42.38888°N 87.84861°W﻿ / 42.38888; -87.84861) 
The lack of a bottom liner allowed leachate to enter the local groundwater.",6/24/1988,3/31/1989,9/23/2005,,,,,
ILD980605836,H.O.D. Landfill,,Lake,Illinois,,"(42°28′31″N 88°04′55″W﻿ / ﻿42.4753°N 88.0819°W﻿ / 42.4753; -88.0819) 
Groundwater was contaminated with vinyl chloride.",9/18/1985,2/21/1990,6/29/2001,,,,,
ILD048843809,Chemetco,,Madison,Illinois,,"(38°50′06″N 90°05′42″W﻿ / ﻿38.835°N 90.095°W﻿ / 38.835; -90.095) Site 
contains over 450,000 cubic yards of waste slag and over 60,000 cu yd of zinc 
oxide. The materials contain elevated levels of cadmium, copper and lead. 
Sediments in nearby wetlands and Long Lake also have elevated levels of the 
same metals.",,3/4/2010,–,–,–,,,
IL0210090049,Joliet Army Ammunition Plant Load-Assembly-Packing Area,,Will,Illinois,,"(41°21′58″N 88°04′38″W﻿ / ﻿41.3662°N 88.0772°W﻿ / 41.3662; -88.0772) Site 
of federal ammunitions plant polluted with base neutral acids, metals, 
nitroaromatics, PCBs, and petroleum hydrocarbon. Physical cleanup has been 
completed, but site remains on the NPL list.",4/10/1985,3/13/1989,9/29/2008,,,,,
IL7213820460,Joliet Army Ammunition Plant Manufacturing Area,,Will,Illinois,,"Soil contaminated with explosives and metals, primarily TNT, tetryl, DNT, 
and lead. Groundwater plumes contaminated with explosives, VOCs, and metals.
[10]",10/15/1984,7/22/1987,9/10/2008,,,,,
ILD053219259,"Acme Solvent Reclaiming, Inc. (Morristown Plant)",,Winnebago,Illinois,,"(42°09′28″N 89°02′44″W﻿ / ﻿42.1577°N 89.0455°W﻿ / 42.1577; -89.0455) Site 
was used as a drum storage and disposal area for wastes generated by Acme's 
solvent distillation units. From 1960 to 1970, the site consisted of seven 
waste disposal lagoons and open storage of 10,000 to 15,000 drums. Testing 
of groundwater found it to contain volatile organic compounds (VOCs). Soil 
sampling identified VOCs, phthalates, polychlorinated biphenyls (PCBs), and 
metals including lead and chromium.[11]",12/30/1982,9/8/1983,7/13/1998,,,,,
IND000715490,Conrail Rail Yard (Elkhart),,Elkhart,Indiana,,"A variety of chlorinated compounds, including TCE and carbon tetrachloride 
escaped into the local aquifer as a result of accidents and other releases 
at this site. Groundwater contamination formed two distinct plumes 
migrating to the St. Joseph River.",6/24/1988,8/30/1990,7/12/2004,,,,,
IND980500292,Himco Dump,,Elkhart,Indiana,,"This location was used as a dump for a variety of materials between 1960 
and 1976. It was operated by Himco Waste Away.",6/24/1988,2/21/1990,,,,,,
IND016360265,"American Chemical Service, Inc.",,Lake,Indiana,,"Aquifers beneath the site are contaminated with volatile organic compounds 
(VOCs) such as benzene, toluene, xylene, and vinyl chloride, and with 
semi-volatile organic compounds (SVOCs) such as creosote.",9/8/1983,9/21/1984,9/27/2004,,,,,
IND016395899,Carter Lee Lumber Co.,,Marion,Indiana,,"Soil contaminated with heavy metals including arsenic, cadmium, chromium, 
copper, cyanide and various volatile organic compounds.",6/24/1988,3/31/1989,9/29/1995,,7/9/1996,,,
IND006418651,Bennett Stone Quarry,,Monroe,Indiana,,"This location had been used for dumping of electrical parts, including a 
large number of PCB-contaminated capacitors by Westinghouse Electric.",9/8/1983,9/21/1984,9/25/2000,,,,,
IND980794341,Lemon Lane Landfill,,Monroe,Indiana,,"Allegedly, wastes were incinerated on-site. No records were kept of the 
types or quantities of wastes received. Of primary concern are large 
quantities of exposed capacitors containing PCBs.",12/30/1982,9/8/1983,,,,,,
IND980614556,Neal's Landfill (Bloomington),,Monroe,Indiana,,"Capacitors and arrestors containing PCBs, as well as PCB-contaminated 
capacitor insulation material, rags, and filter clay, were disposed of at 
the landfill by Westinghouse Electric.",12/30/1982,9/8/1983,,,,,,
IND001213503,Continental Steel Corp. (Kokomo),,Howard,Indiana,,"Chromium, cadmium, aresnic, lead, and iron constituents known to be in the 
impoundment, in on-site ground water. PCB, Vinyl Chloride, 
Benzofluoranthene.[10]",6/24/1988,3/31/1989,8/10/2011,,,,,
INN000510479,Contaminated Ground Water Plume (Kokomo),,Howard,Indiana,,"Vinyl Chloride and arsenic have been detected in several of the City of 
Kokomo’s municipal water wells.[11]",9/22/2014,3/26/2015,,,,,,
IAD042581256,Aidex Corporation,,Mills,Iowa,,"Groundwater was contaminated by atrazine and soil was contaminated by aldrin, 
chlordane other pesticides and stored waste, from pesticide production and 
a 1976 fire on-site.",12/30/1982,9/8/1983,6/30/1992,–,10/21/1993,,,
IAD980687933,Des Moines TCE,,Polk,Iowa,,"Groundwater and soil contamination by VOCs (including PCE, TCE and vinyl 
chloride), pesticides and herbicides from former industrial operations and 
waste disposal practices.[10]",12/30/1982,9/8/1983,9/21/1998,–,–,,,
IAD980685804,"E.I. du Pont De Nemours & Company, Inc. (County Road X23)",,Lee,Iowa,,"Groundwater and soil were contaminated by cadmium, lead, other heavy metals, 
and VOCs from former paint waste disposal. Livestock and approximately 
1,200 people within three miles of the site depend on private wells for 
drinking water.[11][12]",6/24/1988,8/30/1990,9/29/1993,–,9/25/1995,,,
IAD005279039,Electro-Coatings Inc.,,Linn,Iowa,,"Groundwater contamination by hexavalent chromium, with elevated levels of 
cadmium, nickel and other heavy metals. Groundwater VOC contamination 
attributed to neighboring industry. Groundwater contamination has not been 
detected in municipal drinking water wells.[13][14]",6/24/1988,10/4/1989,9/14/2000,–,–,,,
IAD981124167,Fairfield Coal Gasification Plant,,Jefferson,Iowa,,"Groundwater contamination by PAHs (including anthracene and pyrene), VOCs 
(including benzene, toluene, and xylene), lead, mercury and cyanides.[15]
[16]",6/24/1988,8/30/1990,8/24/1995,–,–,,,
IAD022193577,Farmers' Mutual Cooperative,,Sioux,Iowa,,"Three city wells were closed because of groundwater contamination. Site 
groundwater was contaminated by several pesticides and carbon tetrachloride. 
Soil contamination by pesticides is not at levels that are a concern to 
health.[17][18]",6/24/1988,8/30/1990,8/12/1998,–,11/13/2001,,,
